Excel_Col,Charge_Group,Cont_Type,Status
A,POL,,ACTIVE
B,POD,,ACTIVE
C,PlaceOfDelivery,,ACTIVE
D,CARRIER,,ACTIVE
E,Effective Date,,ACTIVE
F,Expiration Date,,ACTIVE
G,Group rate or Service note,,ACTIVE
H,Transit time,,ACTIVE
I,Contract Identifier,,ACTIVE
J,Routing note,,ACTIVE
K,Base Ocean Freight,20GP,ACTIVE
L,Base Ocean Freight,40GP,ACTIVE
M,Base Ocean Freight,40HQ,ACTIVE
N,Base Ocean Freight,45'HQ,ACTIVE
O,Base Ocean Freight,40NOR,ACTIVE
